lat,lon,leng,color
37.843897,-0.920318,es,blue
42.109466,-8.588864,it,green
38.031068,-3.868273,pt,black
37.245731,-4.683622,es,blue
41.87475,3.117222,es,blue
41.363975,1.694506,en,yellow
39.676102,3.070208,es,blue
41.691162,-1.040901,es,blue
38.437111,-0.807267,en,yellow
40.344084,-4.347763,es,blue
43.313761,-3.011256,es,blue
39.103298,-0.30894,es,blue
40.406575,-3.538103,es,blue
39.751407,-0.388823,es,blue
40.522788,0.159509,es,blue
37.868701,-2.299375,es,blue
41.844532,2.429092,ca,aquamarine
40.108305,-3.667357,it,green
41.76023,2.975167,en,yellow
40.417952,-3.408823,es,blue
41.676163,-2.72925,es,blue
39.203036,-0.601713,es,blue
37.486079,-6.029591,es,blue
41.96765,1.484881,ca,aquamarine
42.604016,-8.95866,es,blue
36.204315,-6.078692,es,blue
37.517376,-1.475708,en,yellow
41.559463,2.495255,pt,black
37.073013,-5.997171,es,blue
28.232872,-16.51039,pt,black
40.260293,-3.348663,es,blue
40.357925,-4.754957,es,blue
43.215197,-2.914063,ca,aquamarine
40.268153,-4.295226,en,yellow
38.798955,-0.157402,ca,aquamarine
42.149032,-8.395522,es,blue
42.744473,-1.634415,es,blue
42.857478,-2.237268,en,yellow
36.822756,-4.863215,es,blue
38.029455,-0.699225,es,blue
42.612181,-0.577977,es,blue
39.838999,-2.855706,es,blue
42.395821,-5.979922,es,blue
41.524029,2.18804,it,green
36.731072,-4.902538,es,blue
42.454125,0.739286,ca,aquamarine
41.902022,2.746881,es,blue
40.185737,-1.806304,es,blue
42.247691,2.1182,ca,aquamarine
43.26836,-2.284643,es,blue
41.712312,2.044094,ca,aquamarine
40.493253,-3.512437,es,blue
28.272893,-16.924344,es,blue
37.31308,-6.119485,es,blue
37.489882,-6.186591,es,blue
42.953014,-2.055177,es,blue
37.408951,-5.973795,es,blue
43.098817,-3.024279,en,yellow
37.208463,-3.575815,es,blue
43.29728,-3.014794,es,blue
38.926381,-0.181726,en,yellow
38.173993,-6.989205,es,blue
42.578793,-6.903936,es,blue
38.867018,-6.645503,es,blue
36.723559,-4.775344,es,blue
41.436397,1.921351,ca,aquamarine
41.054562,1.10061,es,blue
40.209689,-4.026659,es,blue
42.957448,-8.915602,es,blue
36.701439,-3.419915,es,blue
38.100485,-3.115447,es,blue
40.530715,-3.297113,es,blue
37.739885,-5.104699,es,blue
38.477411,-6.187549,es,blue
39.550755,-0.38499,ca,aquamarine
41.193582,-0.532067,es,blue
41.629314,1.372964,es,blue
38.766664,-0.935177,ca,aquamarine
39.770573,-0.181668,pt,black
